id,name,text,trans
0000000000000,{user},雨夜さん、お疲れ様でした。,雨夜同学，辛苦了。
0000000000000,燕,気休めはよせ。\n……ひどいパフォーマンスだった。,别安慰我了。\n……刚才的表演太糟糕了。
0000000000000,燕,こんな有り様では、\n月花に挑むどころではない。,凭这个样子，\n怎么去挑战月花。
0000000000000,{user},では、諦めますか？,那么，要放弃吗？
0000000000000,燕,ふざけるな！\nこのままで終われるか！,别开玩笑了！\n怎么可能就这么结束！
0000000000000,燕,まだ『N.I.A』は途中だ！\n必ず巻き返してやる！,『N.I.A』还在进行呢！\n我一定会逆转给你看的！
0000000000000,{user},その意気です。\n張り切っていきましょう。,就是这个劲头。\n打起精神继续努力吧。
0000000000000,燕,ああ！\nさっそく反省会をするぞ！,嗯！\n现在就开始反省会吧！
info,adv_pstory_002_atbm_after-audition-mid-failure-01.txt,,
译者," フォーラ",,
