id,name,text,trans
0000000000000,あさり先生,やりましたね！\n{user}くん！\n<r\=セレクション>選抜試験</r>突破、おめでとうございます。,做到了呢！\n{user}君！\n<r\=セレクション>选拔考试</r>突破、恭喜你。
0000000000000,あさり先生,次は、\nいよいよ『H.I.F』本戦です。,接下来，\n终于到了『H.I.F』正式比赛。
0000000000000,あさり先生,念のために、\n授業のおさらいをしておきましょう。,为了以防万一，\n我们复习一下课程内容吧。
0000000000000,あさり先生,『H.I.F』の新ルールを\n覚えていますか？,还记得『H.I.F』的新规则吗？
0000000000000,あさり先生,まずはひとつめ。今回はソロ部門と\nユニット部門を分けることなく、\n審査を行い――,首先是第一点。这次不区分个人部门和\n组合部门，进行审查——
0000000000000,あさり先生,『H.I.F』優勝者が、\nそのまま<r\=プリマステラ>『一番星』</r>となります。,『H.I.F』的优胜者，\n将直接成为<r\=プリマステラ>『第一星』</r>。
0000000000000,あさり先生,ふたつめ。\n本戦からは『課題曲』と『自由曲』の\n2ラウンドで構成されます。,第二点。\n正式比赛由『必选曲目』和『自选曲目』的\n两回合构成。
0000000000000,あさり先生,各ラウンドで、最初にパフォーマンスを\nするのは、現<r\=プリマステラ>『一番星』</r>花海佑芽さん。,在每个回合中，首先进行表演的，\n是现任<r\=プリマステラ>『第一星』</r>花海佑芽小姐。
0000000000000,あさり先生,選抜された初星アイドルたちが、\n王者にどこまで迫れるか！　\n果たして追い抜くことができるのか！,被选拔出来的初星偶像们，\n能够接近王者到何种程度！\n到底能不能超越呢！
0000000000000,あさり先生,それが今回の『H.I.F』の\n見どころですね。,那就是这次『H.I.F』的\n看点呢。
0000000000000,あさり先生,1ラウンド目は課題曲である\n『ガラクタロード』を。,第一回合是必选曲目\n『废旧之路』。
0000000000000,あさり先生,2ラウンド目は、各自で選んだ曲を、\nそれぞれ歌っていただきます。,第二回合，是由各自选择的曲目，\n请诸位分别演唱。
0000000000000,あさり先生,各ラウンド終了時に審査が行われ、\n合算した評価で順位が決定。,在各回合结束时进行审查，\n根据合计评价决定排名。
0000000000000,あさり先生,1位のアイドルが<r\=プリマステラ>『一番星』</r>です！！,第一名的偶像将成为<r\=プリマステラ>『第一星』</r>！！
0000000000000,あさり先生,他の参加者と同じ楽曲を歌い、いかに\n抜きんでたパフォーマンスを見せるか。,和其他参加者演唱相同的乐曲，如何\n展现出出类拔萃的表演。
0000000000000,あさり先生,本戦までに、いかに自分に合った楽曲を\n見つけ、研ぎ澄ませてきたか。,到正式比赛为止，是如何找到适合自己的乐曲，\n并精心打磨的呢。
0000000000000,あさり先生,アイドルの実力はもちろん、きみが\n積み重ねてきたプロデュースもまた、\n問われることになるでしょう。,不仅偶像的实力，你一直以来积累的\n培育成果，也将\n受到考验吧。
0000000000000,あさり先生,きみとアイドルが出会ってから、\nいままでの総決算。,从你和偶像相遇开始，\n到现在的总决算。
0000000000000,あさり先生,先生から言うことは、\nもうなにもありません。,老师我已经没有什么可说的，\n没有了。
0000000000000,あさり先生,がんばってくださいね、\n{user}くん！,要加油哦，\n{user}君！
info,adv_pstory_003_hski_world-explanation-final.txt,,
译者,deepseek-v4-pro,,
